;killbyhum(@±»ÈËÉ±ËÀ) killbymon(@±»¹ÖÉ±ËÀ) @ShaguaiTrigger LevelUp(@UpgradeTrigger)

[0	Cen] CANRIDE WEATHER(1)
[SWYZB ÉñÍþÓü´óÌü] SAFE
[SWYSL ÉñÍþÓüÊÔÁ¶³¡] NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û(ÊÔÓÃ)/ÕòÄ§Éñ·û(ÊÔÓÃ)] CANRECALLEVIL 
[SWY101 ÉñÍþÓüÒ»²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY101|SWY102 ÉñÍþÓüÒ»²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY101|SWY103 ÉñÍþÓüÒ»²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY101|SWY104 ÉñÍþÓüÒ»²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY101|SWY105 ÉñÍþÓüÒ»²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY101|SWY106 ÉñÍþÓüÒ»²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY101|SWY107 ÉñÍþÓüÒ»²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY101|SWY108 ÉñÍþÓüÒ»²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY101|SWY109 ÉñÍþÓüÒ»²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY201 ÉñÍþÓü¶þ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY201|SWY202 ÉñÍþÓü¶þ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY201|SWY203 ÉñÍþÓü¶þ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY201|SWY204 ÉñÍþÓü¶þ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY201|SWY205 ÉñÍþÓü¶þ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY201|SWY206 ÉñÍþÓü¶þ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY201|SWY207 ÉñÍþÓü¶þ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY201|SWY208 ÉñÍþÓü¶þ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY201|SWY209 ÉñÍþÓü¶þ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY301 ÉñÍþÓüÈý²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY301|SWY302 ÉñÍþÓüÈý²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY301|SWY303 ÉñÍþÓüÈý²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY301|SWY304 ÉñÍþÓüÈý²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY301|SWY305 ÉñÍþÓüÈý²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY301|SWY306 ÉñÍþÓüÈý²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY301|SWY307 ÉñÍþÓüÈý²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY301|SWY308 ÉñÍþÓüÈý²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY301|SWY309 ÉñÍþÓüÈý²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY401 ÉñÍþÓüËÄ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY401|SWY402 ÉñÍþÓüËÄ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY401|SWY403 ÉñÍþÓüËÄ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY401|SWY404 ÉñÍþÓüËÄ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY401|SWY405 ÉñÍþÓüËÄ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY401|SWY406 ÉñÍþÓüËÄ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY401|SWY407 ÉñÍþÓüËÄ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY401|SWY408 ÉñÍþÓüËÄ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY401|SWY409 ÉñÍþÓüËÄ²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY501 ÉñÍþÓüÎå²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY501|SWY502 ÉñÍþÓüÎå²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY501|SWY503 ÉñÍþÓüÎå²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY501|SWY504 ÉñÍþÓüÎå²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY501|SWY505 ÉñÍþÓüÎå²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY501|SWY506 ÉñÍþÓüÎå²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY501|SWY507 ÉñÍþÓüÎå²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY501|SWY508 ÉñÍþÓüÎå²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWY501|SWY509 ÉñÍþÓüÎå²ã] NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] CANRECALLEVIL
[SWYLTS ] 
[SWYTONGDAO ÌìÄ§±¦²ØÍ¨µÀ] FIGHT DECHP(3/70) DelayGoto(5/@ÌìÄ§¼Ó¾­Ñé) NORECALL NORECONNECT(SWYZB) CANUSESUPERITEM[Áé·û/Áé·û(À¦)/ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/] 
SWYTONGDAO 74 26 -> SWYBAOZANG 41 186
[SWYBOSS ÌìÄ§³²Ñ¨] NORECALL NORECONNECT(SWYZB) CANRECALLEVIL
[SWYBAOZANG ÌìÄ§±¦²Ø] FIGHT DECHP(3/120) DelayGoto(5/@ÌìÄ§¼Ó¾­Ñé) NORECALL   NORECONNECT(SWYZB) CANUSESUPERITEM[Áé·û/Áé·û(À¦)/ÕòÄ§·û/ÕòÄ§Éñ·û/ÕòÄ§·û(À¦)/ÕòÄ§Éñ·û(À¦)/]
SWYBAOZANG 48 124 -> SWYBAOZANG 120 176
SWYBAOZANG 155 138 -> SWYBAOZANG 152 112
SWYBAOZANG 133 126 -> SWYBAOZANG 90 133
SWYBAOZANG 104 142 -> SWYBAOZANG 110 120










;Connection point configuration
;--------------------------------------------------
0	725,35	->	2	438,971
0	726,35	->	2	439,971
0	727,35	->	2	440,971
0	728,35	->	2	441,971
2	439,973	->	0	725,37
2	440,973	->	0	726,37

;Magic Hidden Village
6	277,269 ->	0	670,689

;;CentralPlains
;Inn
SH045	8,23	->	0	520,267
SH045	9,24	->	0	521,268
0	521,266	->	SH045	6,20
0	522,267	->	SH045	7,21
0	522,265	->	SH045	7,21

;Palace 28 25
SH000	11,53	->	0	482,142
SH000	12,54	->	0	483,143
SH000	13,55	->	0	484,144
0	484,141	->	SH000	12,52
0	485,141	->	SH000	13,53
0	485,142	->	SH000	14,54

;Warehouse 1
SH001	4,17	->	0	371,209
SH001	5,18	->	0	371,210
SH001	6,19	->	0	372,210
0	372,207	->	SH001	5,16
0	373,208	->	SH001	6,17
0	374,209	->	SH001	7,18

;Warehouse 2
SH001	8,2	->	SH004	6,8
SH004	5,9	->	SH001	7,12

;MarriageRoom
SH005	5,20	->	0	380,259
0	381,258	->	SH005	6,19


;ClothingStore
0	418,205	->	SH008	6,13
SH008	4,14	->	0	417,206
SH008	5,15	->	0	417,206

;Butcher
0	461,259	->	SH009	8,13
0	462,258	->	SH009	9,12
SH009	10,14	->	0	462,260

;Bookstore
0	497,245	->	SH010	7,13
SH010	6,15	->	0	497,246

;Pharmacy
0	493,272	->	SH011	7,16
SH011	9,17	->	0	494,274

;Palace Room 1
0	474,126	->	SH012	13,18
0	474,127	->	SH012	13,18
0	474,128	->	SH012	12,19
SH012	13,20	->	0	474,130
SH012	14,19	->	0	475,129

;Palace Room 2
0	488,173	->	SH013	6,18
0	489,174	->	SH013	7,19
SH013	6,19	->	0	488,175

----------------------------------------------

;GeneralCave
0	28,346	->	H071	258,497
0	27,347	->	H071	257,498
H071	259,499	-> 0	30,351
H071	260,500	-> 0	30,351

0	55,176	->	H071	241,35
0	55,177	->	H071	242,36
H071	240,36	->	0	52,180
H071	239,36	->	0	52,180
H071	239,37	->	0	52,180

H071	256,258	->	H072	25,216
H071	256,259	->	H072	26,217
H072	24,219	->	H071	254,260
H072	23,219	->	H071	255,261

;GeneralCave2
H072	244,263	->	H073	239,248
H073	236,245	->	H072	244,261
H073	236,246	->	H072	243,262

;GeneralCave3
H073	155,170	->	H074	44,37
H073	155,171	->	H074	43,38
H073	154,170	->	H074	43,38
H074	42,36	->	H073	154,168
H074	42,37	->	H073	153,169

;GeneralCaveEast
0	777,393	->	H081	201,329
0	777,394	->	H081	202,330
H081	198,331	->	0	774,396
H081	198,332	->	0	774,397
H081	199,332	->	0	775,397

H081	206,169	->	H082	107,83
H081	206,170	->	H082	107,84
H081	205,169	->	H082	107,84
H081	205,170	->	H082	106,84
H082	105,81	->	H081	204,166
H082	105,82	->	H081	203,167

;GeneralCaveEast2
H082	197,244	->	H083	162,168
H082	198,245	->	H083	162,168
H083	160,165	->	H082	196,241
H083	160,166	->	H082	195,242

H082	256,183	->	H084	144,150
H082	257,184	->	H084	144,150
H084	142,147	->	H082	255,180
H084	142,148	->	H082	254,181


;¶«Èý×ó±¯Ãù³¤ÀÈ
H083	81,241	->	H085	285,145
H083	81,242	->	H085	285,146
H083	82,242	->	H085	286,146
H083	82,241	->	H085	286,146
H085	287,142	->	H083	83,237
H085	287,143	->	H083	84,238

;¶«ÈýÓÒÌ¾Ï¢»ØÀÈ
H084	164,297	->	H083	302,158
H084	164,298	->	H083	302,159
H084	165,298	->	H083	303,159
H084	165,297	->	H083	303,159
H083	304,155	->	H084	166,294
H083	305,155	->	H084	167,295
H083	305,156	->	H084	168,296

;GeneralCaveEast4
H085	193,185	->	H086	225,172
H085	193,186	->	H086	226,173
H086	223,174	->	H085	191,187
H086	223,175	->	H085	191,188
H086	224,175	->	H085	192,188

H085	120,151	->	H086	119,91
H085	120,152	->	H086	118,92
H086	121,94	->	H085	124,155
H086	121,95	->	H085	124,156
H086	120,95	->	H085	123,156
H086	120,94	->	H085	123,156


;;PenIsland Mines

;Mines
;T011
1	477,395	->	T011	14,138
1	477,396	->	T011	15,139
T011	12,141	->	1	475,397
T011	12,142	->	1	475,398

T011	61,20	->	T022	86,90
T011	61,21	->	T022	87,91
T022	83,93	->	T011	59,22
T022	83,94	->	T011	59,23

T011	123,10	->	T013	73,86
T011	122,10	->	T013	72,86
T011	122,11	->	T013	72,87
T013	75,89	->	T011	125,13
T013	75,90	->	T011	124,14

T011	105,88	->	T012	18,28
T011	105,89	->	T012	18,28
T012	17,25	->	T011	103,86
T012	16,25	->	T011	103,86
T012	16,26	->	T011	103,86

;T012
T012	26,83	->	T017	38,15
T012	26,84	->	T017	38,15
T017	40,12	->	T012	29,80
T017	40,13	->	T012	30,81

;T013
T013	15,56	->	T018	121,106
T013	15,57	->	T018	121,106
T018	123,103	->	T013	17,53
T018	123,104	->	T013	17,53

;T014
T014	20,80	->	T016	87,25
T014	20,81	->	T016	87,25
T016	89,22	->	T014	22,78
T016	89,23	->	T014	22,78

T014	81,18	->	T017	91,126
T014	81,19	->	T017	92,127
T017	88,129	->	T014	79,21
T017	88,130	->	T014	79,21

;T015
T015	14,28	->	T021	83,15
T015	14,29	->	T021	83,15
T021	85,13	->	T015	16,26
T021	85,14	->	T015	16,26

T015	172,142	->	T022	17,71
T015	172,143	->	T022	17,71
T022	15,73	->	T015	170,145
T022	15,74	->	T015	170,145

;T016
T016	38,132	->	T022	65,17
T016	38,133	->	T022	65,17
T022	64,14	->	T016	36,130
T022	63,14	->	T016	36,130
T022	63,15	->	T016	36,130

;T017

;T018
T018	22,128	->	T020	73,23
T018	22,129	->	T020	73,23
T020	75,20	->	T018	24,126
T020	75,21	->	T018	24,126

T018	110,14	->	T022	26,18
T018	109,14	->	T022	25,19
T018	109,15	->	T022	25,19
T022	28,21	->	T018	111,16
T022	28,22	->	T018	111,16

;T019
T019	27,127	->	T020	17,53
T019	27,128	->	T020	17,53
T020	16,50	->	T019	25,125
T020	15,50	->	T019	25,125
T020	15,51	->	T019	25,125

T019	111,12	->	T021	19,83
T019	111,13	->	T021	19,83
T021	17,85	->	T019	109,15
T021	17,86	->	T019	109,15

;T020


;L004 Mines
L004	99,37	->	T015	59,142
L004	99,38	->	T015	59,142
TO15	58,144	->	L004	97,40
T015	58,145	->	L004	97,40
TO15	57,145	->	L004	97,40
T015	57,146	->	L004	97,40

;Wilderness
2	443,526	->	SHACHENG	22,439
2	443,527	->	SHACHENG	22,439
2	443,528	->	SHACHENG	22,439
2	443,529	->	SHACHENG	22,439
2	443,530	->	SHACHENG	22,439
2	443,531	->	SHACHENG	22,439


;Warehouse
2	199,485	->	SH022	8,15
SH022	7,16	->	2	198,487

;²Ö¿â2
SH022	15,10	->	SH023	16,14
SH023	14,15	->	SH022	11,20

;ClothingStore
2	197,514	->	SH024	6,20
SH024	5,20	->	2	196,515
2	203,510	->	SH024	9,18
2	202,511	->	SH024	9,18
SH024	10,19	->	2	203,511

;Jewelers
2	141,480	->	SH025	8,17
SH025	7,18	->	2	141,481
2	149,480	->	SH025	17,13
2	150,479	->	SH025	17,13
SH025	18,14	->	2	150,480

;Bookstore
2	234,427	->	SH026	3,11
SH026	2,12	->	2	233,428

;Blacksmith
2	257,446	->	SH027	7,14
2	258,447	->	SH027	7,14
SH027	6,15	->	2	257,447




;M001»ú¹ØÍ¨µÀ
2	201,428	->	M001	46,252
M001	44,255	->	2	200,429

M001	255,44	->	M002	93,278
M002	92,280	->	M001	253,46

M001	96,146	->	M003	241,215
M003	242,217	->	M001	98,148
M003	243,217	->	M001	98,148

M001	132,227	->	M007	34,110
M001	133,226	->	M007	34,110
M007	32,108	->	M001	131,224


;M002»ú¹ØÍ¨µÀ
M002	246,123	->	M018	47,200
M018	45,202	->	M002	244,125
M018	46,203	->	M002	244,125

M002	96,124	->	M010	210,205
M010	211,207	->	M002	98,125
M010	212,207	->	M002	98,125

M002	362,252	->	M012	54,46
M002	362,253	->	M012	54,46
M012	56,44	->	M002	365,248


;M003»ú¹ØÍ¨µÀ
M003	185,120	->	M010	86,153
M010	84,155	->	M003	183,122
M010	85,155	->	M003	183,122


;M004»ú¹ØÍ¨µÀ
M004	120,44	->	M009	99,29
M004	121,44	->	M009	99,29
M009	97,27	->	M004	119,42

M004	14,141	->	M018	197,47
M018	199,45	->	M004	16,138

M004	117,23	->	M004	74,88
M004	76,89	->	M004	119,25
M004	75,90	->	M004	119,25

M004	107,33	->	M004	83,78
M004	84,80	->	M004	109,35
M004	85,80	->	M004	109,35

M004	83,57	->	M004	128,33
M004	129,35	->	M004	85,59
M004	130,35	->	M004	85,59

M004	73,67	->	M004	36,125
M004	37,127	->	M004	75,69
M004	38,127	->	M004	75,69

M004	29,111	->	M004	27,134
M004	28,136	->	M004	31,113
M004	29,136	->	M004	31,113

M004	19,121	->	M004	92,69
M004	93,71	->	M004	21,123
M004	94,71	->	M004	21,123


;M005»ú¹ØÍ¨µÀ
2	207,427	->	M005	91,104
M005	92,106	->	2	208,428
M005	93,106	->	2	208,428

M005	50,85	->	M013	22,64
M013	21,66	->	M005	48,87

M005	89,56	->	M009	200,65
M005	90,56	->	M009	200,65
M009	202,63	->	M005	91,54

M005	49,49	->	M005	99,96
M005	100,98	->	M005	51,51
M005	101,98	->	M005	51,51

M005	41,57	->	M005	107,88
M005	108,90	->	M005	43,59
M005	109,90	->	M005	43,59

M005	58,93	->	M005	99,62
M005	97,64	->	M005	56,95
M005	98,64	->	M005	56,95

M005	66,101	->	M005	83,46
M005	81,48	->	M005	63,103
M005	82,48	->	M005	63,103


;M006»ú¹ØÍ¨µÀ
M006	73,74	->	M009	60,196
M009	58,198	->	M006	71,76
M009	59,198	->	M006	71,76


;M007»ú¹Ø¹¤³§
M007	220,59	->	M012	88,164
M012	86,167	->	M007	218,61
M012	87,167	->	M007	218,61


;M008»ú¹Ø¹¤³§
M008	94,135	->	M018	52,57
M008	95,135	->	M018	52,57
M018	50,55	->	M008	93,133
M018	50,56	->	M008	93,133

M008	101,18	->	M015	117,157
M015	118,159	->	M008	103,20
M015	119,159	->	M008	103,20


;M009»ú¹Ø¹¤³§
M009	188,200	->	M011	28,52
M009	189,200	->	M011	28,52
M011	27,50	->	M009	187,198


;M010»ú¹Ø×¡´¦
M010	176,61	->	M008	81,76
M008	80,78	->	M010	174,63

M010	181,220	->	M012	18,78
M012	17,80	->	M010	179,222


;M011»ú¹Ø×¡´¦
M011	122,68	->	M013	71,126
M013	69,129	->	M011	120,70


;M012»ú¹Ø×¡´¦
M012	178,73	->	M014	53,115
M014	51,117	->	M012	176,75
M014	52,118	->	M012	176,75
M014	52,119	->	M012	176,75

M012	180,203	->	M016	41,39
M012	181,202	->	M016	41,39
M016	39,37	->	M012	178,201


;M013»ú¹Ø×¡´¦


;M014²Ö¿â
M014	50,23	->	M018	191,196
M018	192,199	->	M014	52,25
M018	193,199	->	M014	52,25


;M015²Ö¿â
M015	160,119	->	M017	42,38
M015	161,119	->	M017	42,38
M017	40,36	->	M015	159,117


;M016ÖÐ×ªÕ¾
M016	50,52	->	M006	60,195
M006	58,197	->	M016	49,53
M006	59,197	->	M016	49,53


;M017ÖÐ×ªÕ¾
M017	58,63	->	M004	65,79
M017	59,63	->	M004	65,79
M017	59,62	->	M004	65,79
M004	63,77	->	M017	57,61

M017	49,51	->	M005	59,43
M017	49,52	->	M005	59,43
M017	48,52	->	M005	59,43
M005	57,41	->	M017	47,50


;M018ÖÐÊàµî


;M020
M001	262,97	->	M020	55,15
M001	263,97	->	M020	55,15
M001	263,96	->	M020	55,15
M020	53,13	->	M001	261,94

M020	36,56	->	M021	92,131
M021	90,133	->	M020	35,57
M021	91,133	->	M020	35,57

;M021
M021	122,156	->	M022	52,86
M022	53,88	->	M021	123,157
M022	54,88	->	M021	123,157

;M022
M022	49,46	->	M023	37,210
M023	35,212	->	M022	47,47
M023	36,212	->	M022	47,47

;M023
M023	100,38	->	M024	67,262
M024	69,265	->	M023	101,39
M024	68,266	->	M023	101,39

M023	201,44	->	M025	65,184
M025	63,186	->	M023	199,45
M025	64,186	->	M023	199,45

M023	229,130	->	M026	22,283
M026	20,285	->	M023	227,131
M026	21,285	->	M023	227,131

;M024
M024	226,84	->	M027	55,98
M027	54,100	->	M024	225,85

;M025
M025	217,32	->	M027	62,106
M025	218,32	->	M027	62,106
M025	218,33	->	M027	62,106
M027	61,108	->	M025	216,34

;M026
M026	283,20	->	M027	69,114
M026	284,20	->	M027	69,114
M026	284,21	->	M027	69,114
M027	68,116	->	M026	282,22

;M027
M027	43,80	->	M028	45,177
M027	44,80	->	M028	45,177
M028	44,176	->	M027	42,78

;M028
M028	98,82	->	M029	50,41
M028	99,81	->	M029	50,41
M029	52,44	->	M028	100,84
M029	53,43	->	M028	100,84

;M029
M029	90,45	->	M005	46,95
M005	45,97	->	M029	88,47
M005	46,98	->	M029	88,47

;M030
M030	110,76	->	M003	115,186
M030	111,77	->	M003	115,186
M003	117,184	->	M030	111,75

;M031
M031	53,140	->	M006	130,104
M006	131,100	->	M031	54,138
M006	131,101	->	M031	54,138
M006	132,102	->	M031	54,138

M031	139,46	->	M011	39,104
M031	140,47	->	M011	39,104
M011	37,107	->	M031	138,48
M011	38,108	->	M031	138,48

;M032
M032	58,66	->	M024	236,150
M024	237,153	->	M032	59,67
M024	238,152	->	M032	59,67

M032	156,99	->	M026	124,131
M032	156,100	->	M026	124,131
M026	123,128	->	M032	155,97
M026	123,129	->	M032	155,97

;°®µÄ³¤ÀÈ
L001	66,37	->	SH030	5,19
L001	66,38	->	SH030	6,20
SH030	5,20	->	L001	64,40



;;Éß¶´
;10ÉßÄ§¹È
10	83,66	->	2	343,25
10	84,66	->	2	344,25
10	85,66	->	2	345,25
10	86,66	->	2	346,25
10	87,66	->	2	347,25
2	344,23	->	10	82,64
2	345,23	->	10	83,64
2	345,22	->	10	83,64
